st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
427,2317,2687,0,0,0,0,0,0,0,0,0
428,1447,4017,3969,0,0,0,0,0,0,0,0
429,1311,3087,4928,4876,0,0,0,0,0,0,0
430,1675,0,0,0,0,0,0,0,0,0,0
431,3027,4397,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0
434,4947,2795,2423,0,0,0,0,0,0,0,0
435,1103,4576,0,0,0,0,0,0,0,0,0
436,3857,2985,0,0,0,0,0,0,0,0,0
437,3468,0,0,0,0,0,0,0,0,0,0
438,1080,65,0,0,0,0,0,0,0,0,0
439,2994,0,0,0,0,0,0,0,0,0,0
440,2280,0,0,0,0,0,0,0,0,0,0
441,1494,0,0,0,0,0,0,0,0,0,0
442,4150,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0
444,1923,0,0,0,0,0,0,0,0,0,0
445,1481,0,0,0,0,0,0,0,0,0,0
446,1950,0,0,0,0,0,0,0,0,0,0
447,518,68,0,0,0,0,0,0,0,0,0
448,758,0,0,0,0,0,0,0,0,0,0
449,700,4884,3916,3365,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0
451,2713,0,0,0,0,0,0,0,0,0,0
452,3852,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0,0,0,0,0
454,648,2208,1188,0,0,0,0,0,0,0,0
455,3333,0,0,0,0,0,0,0,0,0,0
456,1588,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,0,0,0,0
458,1049,0,0,0,0,0,0,0,0,0,0
459,2681,1726,3419,619,2711,3898,719,339,146,362,0
460,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0
462,4644,0,0,0,0,0,0,0,0,0,0
463,3281,3179,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0,0
466,4554,0,0,0,0,0,0,0,0,0,0
467,1679,1525,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0
469,2339,0,0,0,0,0,0,0,0,0,0
470,3465,1524,2144,1841,3810,2754,412,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0
472,1847,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0
474,2522,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0,0
476,1312,0,0,0,0,0,0,0,0,0,0
477,1314,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0,0
479,1034,3762,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0
481,2090,3849,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0
483,1409,4279,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0
485,2185,0,0,0,0,0,0,0,0,0,0
486,4104,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0
490,85,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0
492,836,3580,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0,0
494,1454,736,104,0,0,0,0,0,0,0,0
495,2562,0,0,0,0,0,0,0,0,0,0
496,310,0,0,0,0,0,0,0,0,0,0
497,1271,0,0,0,0,0,0,0,0,0,0
498,4022,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0
500,3252,3141,1805,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0
502,614,0,0,0,0,0,0,0,0,0,0
503,290,0,0,0,0,0,0,0,0,0,0
504,791,0,0,0,0,0,0,0,0,0,0
505,931,0,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0
510,5020,1730,0,0,0,0,0,0,0,0,0
511,1015,0,0,0,0,0,0,0,0,0,0
512,1262,538,0,0,0,0,0,0,0,0,0
513,1486,0,0,0,0,0,0,0,0,0,0
514,2129,0,0,0,0,0,0,0,0,0,0
515,2646,0,0,0,0,0,0,0,0,0,0
516,2388,0,0,0,0,0,0,0,0,0,0
517,1036,2491,1867,0,0,0,0,0,0,0,0
518,3220,68,447,0,0,0,0,0,0,0,0
519,4502,0,0,0,0,0,0,0,0,0,0
520,1337,416,0,0,0,0,0,0,0,0,0
521,3381,0,0,0,0,0,0,0,0,0,0
522,2157,1385,0,0,0,0,0,0,0,0,0
523,610,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,0
526,2365,1582,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,0,0
528,2501,703,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0
