SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3
4409,266.17504125,-42.7293025,5.88,0.00047,-0.001,-0.0490019433066575,-0.732931424546231,-0.67853543493675
4410,277.398793333333,23.8662016666667,5.88,0,-0.002,0.11776354482546,-0.906878604434819,0.404602205046509
4411,278.2306,-73.9655958333333,5.88,0.00166,-0.0873,0.0395421854588332,-0.27336947832365,-0.961096011796009
4412,281.619143333333,0.9616925,5.88,0.00133,-0.0218,0.201376830021995,-0.979370038654648,0.0167839124129346
4413,300.436295833333,24.8004233333333,5.88,0.00049,-0.0008,0.459860389811647,-0.782676654632426,0.419458789603548
4414,314.419352916667,-16.0315394444444,5.88,0.00356,0.0017,0.672685213218059,-0.686459534085889,-0.276166457015257
4415,316.597102083333,71.4317972222222,5.88,-0.01009,-0.116,0.231354489815607,-0.218803232001586,0.947945275692548
4416,334.110681666667,57.2202383333333,5.88,0.00583,0.0054,0.487074797063721,-0.236398608252175,0.840757896235159
4417,338.51213375,-1.57426972222222,5.88,0.00265,-0.0373,0.930143950122408,-0.366165920035019,-0.0274727329472716
4418,339.2452275,-40.5910344444444,5.88,0.00397,-0.0697,0.710094139028454,-0.269098243342327,-0.650655399691351
4419,340.092944166667,-30.6588708333333,5.88,-0.00834,-0.2095,0.808817213936449,-0.292900405051301,-0.509925550606031
4420,29.89868,21.0585697222222,5.89,0.01006,-0.0144,0.809010555366469,0.465176901376973,0.359322100254014
4421,36.64674,-20.0426169444444,5.89,0.00612,0.1015,0.753740039326587,0.560731345441352,-0.342718997657683
4422,37.6348079166667,25.2350363888889,5.89,0.00455,-0.0729,0.716343256050959,0.552352176636772,0.426332513978151
4423,46.82916125,64.0575941666667,5.89,-0.00208,-0.0032,0.299304731185419,0.319052422440433,0.899234246247837
4424,61.33440875,22.0089052777778,5.89,0.01241,-0.1301,0.444739048547386,0.813491913437742,0.374750697755945
4425,68.65829875,28.9611505555556,5.89,-5e-05,-0.0219,0.318419246305742,0.814950054611465,0.484216472324986
4426,89.2060441666667,11.5210577777778,5.89,0.00721,-0.0567,0.0135775063494696,0.979757290998871,0.199728070275269
4427,98.8233195833333,9.98833527777778,5.89,2e-05,-0.0077,-0.151063146636141,0.973188485496357,0.173447679216802
4428,110.268052916667,-25.8916433333333,5.89,-0.00088,0.0134,-0.311640258114545,0.843918925212224,-0.436670582007701
4429,116.14242875,-37.9429172222222,5.89,-0.00188,0.0157,-0.34747081776998,0.707948745605734,-0.614876088650005
4430,125.108581666667,57.7432786111111,5.89,0.00713,0.0139,-0.306953593323356,0.436611763098254,0.845665217370393
4431,125.708067916667,-26.3482197222222,5.89,-0.00038,0.0062,-0.523021464354375,0.727645149844871,-0.44382551045635
4432,130.2721675,-48.9226802777778,5.89,-0.00047,0.0036,-0.424747138736277,0.501338129537707,-0.753823552303176
4433,131.73340875,12.1099522222222,5.89,-0.00445,-0.0511,-0.650852418688351,0.729643718821326,0.209788399755824
4434,135.285472916667,-68.6839158333333,5.89,0.00297,0.001,-0.258319841940481,0.255758455280761,-0.931589218385574
4435,155.263917916667,68.7476511111111,5.89,-0.01005,-0.0342,-0.329217182297963,0.151674243380868,0.931993010046015
4436,155.776365416667,33.9081447222222,5.89,-0.00114,-0.0043,-0.756858176172601,0.340520883908791,0.557863091432531
4437,159.511020833333,-57.2563091666667,5.89,-0.00192,0.0007,-0.506665418306718,0.189323365019325,-0.841098577664852
4438,173.083317916667,-66.9618236111111,5.89,-2e-05,0.0047,-0.388496298778228,0.0471279919282454,-0.920244303547938
4439,180.6570525,-69.1922877777778,5.89,-0.00733,-0.0069,-0.355209432291606,-0.00407362425356467,-0.934777869226971
4440,181.06915875,21.4591525,5.89,0.00252,-0.0044,-0.93051658849118,-0.0173657719842572,0.365837817217039
4441,185.48928,-56.3743855555556,5.89,-0.0013,-0.0008,-0.551224358565462,-0.0529727808019052,-0.832673760255605
4442,191.8289625,62.7811547222222,5.89,0.00292,0.0065,-0.447677249711336,-0.0937608483582078,0.889265980124082
4443,193.743805833333,-44.1519677777778,5.89,-0.02205,-0.231,-0.69695132002071,-0.170463047151173,-0.696563857142565
4444,206.556439166667,41.0887461111111,5.89,-0.01007,-0.0423,-0.674173719013524,-0.336960201948615,0.657227220140967
4445,208.429561666667,-53.3733227777778,5.89,-0.00179,-0.0174,-0.524650639049811,-0.284027470782157,-0.802539782681031
4446,222.185625833333,-66.5935633333333,5.89,-0.00126,-0.0111,-0.294352294045293,-0.26676783117204,-0.917710003891229
